_0.0_153x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0610969, -0.112045, -0.195974, 0.128144, -0.0526979, -0.110957, 0.258216
-0.0610969, 1, 0.221929, -0.108239, 0.108324, -0.121534, -0.0976627, 0.140671
-0.112045, 0.221929, 1, 0.0817902, -0.022196, -0.108121, -0.261744, 0.151462
-0.195974, -0.108239, 0.0817902, 1, -0.933742, 0.85157, 0.339148, -0.0687953
0.128144, 0.108324, -0.022196, -0.933742, 1, -0.975212, -0.125682, 0.00764974
-0.0526979, -0.121534, -0.108121, 0.85157, -0.975212, 1, 0.0905466, 4.52183e-05
-0.110957, -0.0976627, -0.261744, 0.339148, -0.125682, 0.0905466, 1, -0.273093
0.258216, 0.140671, 0.151462, -0.0687953, 0.00764974, 4.52183e-05, -0.273093, 1
_0.0_510x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0799265, -0.129773, -0.222188, 0.193779, -0.149311, -0.132184, 0.226644
-0.0799265, 1, 0.307648, -0.0764649, 0.0553941, -0.0705589, -0.123172, 0.288312
-0.129773, 0.307648, 1, 0.188706, -0.180849, 0.101447, -0.0854771, 0.199248
-0.222188, -0.0764649, 0.188706, 1, -0.939006, 0.871522, 0.448681, -0.0369619
0.193779, 0.0553941, -0.180849, -0.939006, 1, -0.981391, -0.216399, -0.00690474
-0.149311, -0.0705589, 0.101447, 0.871522, -0.981391, 1, 0.153019, 0.00623367
-0.132184, -0.123172, -0.0854771, 0.448681, -0.216399, 0.153019, 1, -0.217003
0.226644, 0.288312, 0.199248, -0.0369619, -0.00690474, 0.00623367, -0.217003, 1
_0.0_504x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0901232, -0.130361, -0.234552, 0.210957, -0.1896, -0.146784, 0.253997
-0.0901232, 1, 0.320357, -0.0326219, -0.00591518, 0.00903153, -0.120429, 0.253663
-0.130361, 0.320357, 1, 0.236254, -0.235745, 0.206354, -0.00715527, 0.134843
-0.234552, -0.0326219, 0.236254, 1, -0.937369, 0.87524, 0.45457, -0.106506
0.210957, -0.00591518, -0.235745, -0.937369, 1, -0.985079, -0.214063, 0.0359848
-0.1896, 0.00903153, 0.206354, 0.87524, -0.985079, 1, 0.146756, -0.0232251
-0.146784, -0.120429, -0.00715527, 0.45457, -0.214063, 0.146756, 1, -0.287637
0.253997, 0.253663, 0.134843, -0.106506, 0.0359848, -0.0232251, -0.287637, 1
_0.0_525x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.099082, -0.103911, -0.189906, 0.133565, -0.0769811, -0.144985, 0.249741
-0.099082, 1, 0.202416, -0.0841148, 0.0740368, -0.0761875, -0.0623103, 0.270093
-0.103911, 0.202416, 1, 0.219546, -0.117979, 0.0118153, -0.000248345, 0.159941
-0.189906, -0.0841148, 0.219546, 1, -0.920101, 0.829329, 0.440558, -0.105706
0.133565, 0.0740368, -0.117979, -0.920101, 1, -0.975984, -0.185106, 0.0331716
-0.0769811, -0.0761875, 0.0118153, 0.829329, -0.975984, 1, 0.109748, -0.0180026
-0.144985, -0.0623103, -0.000248345, 0.440558, -0.185106, 0.109748, 1, -0.27105
0.249741, 0.270093, 0.159941, -0.105706, 0.0331716, -0.0180026, -0.27105, 1
_0.0_486x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0952013, -0.134083, -0.193109, 0.135984, -0.0752945, -0.137349, 0.211793
-0.0952013, 1, 0.324147, -0.0723241, 0.0993952, -0.142539, -0.040422, 0.339542
-0.134083, 0.324147, 1, 0.202533, -0.0919445, -0.0366148, 0.0576209, 0.171018
